Date,Open,High,Low,Close,Volume
2008-10-08,17.0513,18.0515,16.9194,17.35, 4655200
2008-10-07,18.9333,   19.1,17.4053,17.44, 5406300
2008-10-06,19.3024,19.3024,17.8513,18.74, 6326400
2008-10-03,19.7789,20.3414,  19.64,19.64, 4509200
2008-10-02,20.3594,20.4149,19.4706,19.54, 4544200
2008-10-01,20.2598,20.7736,20.0168, 20.6, 3648500
2008-09-30,20.4125,20.9056,19.9541, 20.6, 5803500
2008-09-29,21.0929,21.2457,19.8914,20.19, 7237700
2008-09-26,21.3758,21.5217,20.9314,21.48, 6307100
2008-09-25,21.4672,21.5713,21.2173,21.37, 6592500
2008-09-24,21.3708,21.5723,21.0583,21.35, 4206400
2008-09-23,21.7147, 21.923,21.2078,21.43, 4292100
2008-09-22,22.7627,22.7627,21.5406,21.61, 3885900
2008-09-19,22.2251,22.9125,22.0376,22.85, 4986200
2008-09-18,20.8288,21.8355,20.4122,21.78, 5227400
2008-09-17,21.2433,21.3267,20.5558,20.66, 5352900
2008-09-16,21.1661,21.8675,20.4995,21.68, 4133500
2008-09-15,21.7711,22.1253,21.3892,21.41, 3088000
2008-09-12,22.0655,22.2947,21.9127,22.26, 3064800
2008-09-11,21.8745,22.2217,21.6036,22.18, 3710400
2008-09-10,22.4316,22.5288,22.0775,22.14, 3605200
2008-09-09,23.0238,23.0238,  22.26,22.26, 2611900
2008-09-08,23.1746,23.2718,22.6123,22.89, 3046100
2008-09-05,22.2214,22.8603,22.0478,22.77, 3217400
2008-09-04,23.2807,23.2876,22.3222,22.35, 3656600
2008-09-03, 23.855,23.9592,23.1675,23.48, 3855300
2008-09-02,24.3666,24.7902,23.8111,23.95, 2876700
2008-08-29,24.5011, 24.522,24.0428,24.14, 2331600
2008-08-28,24.2364,  24.66,24.1669,24.66, 1959600
2008-08-27,24.0783,24.4185,23.5576,24.12, 2197800
2008-08-26,24.0583,24.1903,23.8292, 24.1, 2327300
2008-08-25,24.3791,24.5597,24.1153,24.15, 2628500
2008-08-22,24.1255,24.6186,24.1255,24.57, 2253900
2008-08-21,23.8347,24.1958,23.8278,24.05, 2916100
2008-08-20,24.4863, 24.528,23.9656,24.16, 2776700
2008-08-19,24.7508,24.8342,24.3828,24.48, 3299100
2008-08-18,25.2806,25.2806,24.6972,24.85, 4201800
2008-08-15,25.4892,25.5586, 25.003,25.26, 3658600
2008-08-14,25.1408,25.4602,24.7381,25.12, 4355200
2008-08-13,25.5467,25.7411,24.9286,25.38, 2914000
2008-08-12,25.5172,25.7325,25.4964,25.67, 3034200
2008-08-11,25.7525,25.8636,25.4817,25.69, 2640300
2008-08-08,25.1623,25.8636,25.1415,25.69, 3462700
2008-08-07,25.3042,25.6583,25.1861, 25.2, 2711600
2008-08-06,24.9193,25.4469,24.8082,25.44, 2653800
2008-08-05,24.7892, 25.178,24.6434,25.06, 3424100
2008-08-04,24.8247,24.9775,24.5122,24.54, 2370900
2008-08-01,25.0944,25.1847,24.4834, 24.9, 3477900
2008-07-31,25.3525,25.4566,25.0122,25.04, 2710000
2008-07-30,25.1637,25.6358,25.0664,25.49, 2364600
2008-07-29,24.6386,25.2775,24.6386,25.09, 2749000
2008-07-28, 25.123,25.2827,24.8731,24.88, 3265900
2008-07-25,24.8762,25.1886,24.8484,25.14, 3517200
2008-07-24, 24.905,25.0994,24.6481,24.78, 3712700
2008-07-23,24.4722,25.0625,24.3958,   25, 3923500
2008-07-22,24.3067,24.4108,23.9873,24.39, 3672000
2008-07-21,24.8355,24.8355,24.3634,24.53, 1989400
2008-07-18,24.4153,24.7486,24.1028, 24.7, 3765400
2008-07-17,23.8862, 24.518,23.8862, 24.4, 4302600
2008-07-16,24.0983,24.6122,24.0775,24.39, 4138800
2008-07-15,24.1275,24.4817,23.9955,24.19, 4336900
2008-07-14,25.0319,25.0319,24.3167, 24.4, 2879700
2008-07-11,24.3218,25.0994, 24.051,24.78, 3382600
2008-07-10,24.4489,24.6433,24.2059,24.56, 3423700
2008-07-09,25.0784,25.1201,  24.37,24.37, 2905700
2008-07-08,24.3111,25.0125,24.2695,24.95, 4679000
2008-07-07,24.1695,24.7944,23.9751,24.35, 5731800
2008-07-03,24.6756,24.7867,24.0297,24.12, 5404400
2008-07-02,24.7375,25.0429,24.4945,24.55, 3692700
2008-07-01, 24.332,24.8389,24.2556, 24.7, 4520700
2008-06-30,24.7911,24.9925,24.5481,24.68, 4145100
2008-06-27,24.7169,24.9738,24.5642,24.71, 5015300
